"s11","s12","s13","s14","s15","s16","s17","s18","s21","s22","s23","s24","s25","s26","s27","s28","IngsInRow","IngIn1","IngIn2"
"Provolone cheese","Swiss cheese","Cheddar cheese","Parmesan cheese","Tomatoes","Mustard","","","Soy chicken","Garlic aioli","Pickles","Cucumbers","Jalapenos","Basil","","",6,6,6
"Avocado","Pesto","Cheddar cheese","","","","","","Falafel","Hummus","Garlic aioli","Cucumbers","Basil","Tomatoes","","",6,3,6
"Avocado","Spinach","Tomatoes","Swiss cheese","","","","","Pesto","Tomatoes","Provolone cheese","","","","","",4,4,3
"Egg salad","Lettuce","Tomatoes","Onions","","","","","Peppers","Tomatoes","Basil","Spinach","Hummus","Pesto","Olives","",7,4,7
"Black bean patty","Sprouts","Avocado","Tomatoes","Onions","Garlic aioli","","","Provolone cheese","Guacamole","Mixed greens","Onions","Tomatoes","Pickles","Cucumbers","Sprouts",8,6,8
"Peppers","Provolone cheese","Cucumbers","Mixed greens","Tomatoes","Onions","Hummus","","Avocado","Tomatoes","Mayonnaise","Mixed greens","Lettuce","Onions","Vinaigrette","",7,7,7
"Avocado","Pepper jack cheese","Sprouts","Spinach","Cucumbers","Onions","Mayonnaise","Tomatoes","Pepper jack cheese","Cream cheese","Guacamole","Mixed greens","Onions","Tomatoes","Pickles","Sprouts",8,8,8
"Guacamole","Sprouts","Tomatoes","Cucumbers","Vinaigrette","","","","Soy chicken","Pesto","Mixed greens","Tomatoes","Onions","","","",5,5,5
"Avocado","Tomatoes","Lettuce","Sprouts","Guacamole","Vinaigrette","","","Tomatoes","Mozzarella cheese","Spinach","Pesto","","","","",6,6,4
"Vegan turkey","Provolone cheese","Lettuce","Tomatoes","Onions","","","","Vegan turkey","Onions","Lettuce","Pickles","Mustard","Mayonnaise","","",6,5,6
"Soy chicken","Ranch dressing","Lettuce","Tomatoes","Onions","","","","Swiss cheese","Hummus","Peppers","Mixed greens","Onions","Tomatoes","Pickles","Olives",8,5,8
"Soy chicken","Lettuce","Tomatoes","Onions","Guacamole","Mayonnaise","","","Avocado","Cucumbers","Sprouts","Lettuce","Tomatoes","Onions","Pesto","",7,6,7
