s11,s12,s13,s14,s15,s16,s17,s18,s21,s22,s23,s24,s25,s26,s27,s28,IngsInRow,IngIn1,IngIn2,ingredientforslider,VegQuestionLoop.thisRepN,VegQuestionLoop.thisTrialN,VegQuestionLoop.thisN,VegQuestionLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Iter.thisRepN,Iter.thisTrialN,Iter.thisN,Iter.thisIndex,BreakConditional.thisRepN,BreakConditional.thisTrialN,BreakConditional.thisN,BreakConditional.thisIndex,RatingLoop.thisRepN,RatingLoop.thisTrialN,RatingLoop.thisN,RatingLoop.thisIndex,TextHeader.started,TextHeader.stopped,InfoSheetTxt.started,InfoSheetTxt.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,MainInstruction.started,MainInstruction.stopped,MainInstruction_2.started,MainInstruction_2.stopped,VegQuestionText.started,VegQuestionText.stopped,VegResp.keys,VegResp.rt,VegResp.started,VegResp.stopped,text.started,text.stopped,ConfirmResp.keys,ConfirmResp.rt,ConfirmResp.started,ConfirmResp.stopped,Decision.keys,Decision.rt,Decision.started,Decision.stopped,Sandwich1.started,Sandwich1.stopped,Or.started,Or.stopped,Sandwich2.started,Sandwich2.stopped,Instr.started,Instr.stopped,Ingredients1.started,Ingredients1.stopped,Ingredients2.started,Ingredients2.stopped,InstructionEndOfTrial.started,InstructionEndOfTrial.stopped,TrialCounter.started,TrialCounter.stopped,BreakText.started,BreakText.stopped,RatingInstrText.started,RatingInstrText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,SliderDescription.started,SliderDescription.stopped,slider.response,slider.rt,slider.started,slider.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sequence,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.42661720000615,None,167.75173230000655,None,space,1.5554193999996642,167.75173230000655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,169.33500510000158,None,170.9014051999984,None,174.102312300005,None,n,4.503520699989167,174.102312300005,None,178.68454190000193,None,q,0.7326399000012316,178.68454190000193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.44813370000338,None,n,0.5914704000024358,179.44813370000338,None,180.06737430000794,None,p,0.8675227999920025,180.06737430000794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bell peppers,Provolone cheese,Cucumbers,Spinach,Tomatoes,Onions,Hummus,None,Roast beef,Bacon,Turkey,Mayonnaise,None,None,None,None,7,7,4,,,,,,0,0,0,45,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.551779900008114],183.36434149999695,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,182.65806610000436,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bell peppers,Provolone cheese,Cucumbers,Spinach,Tomatoes,Onions,Hummus,None,Roast beef,Bacon,Turkey,Mayonnaise,None,None,None,None,7,7,4,,,,,,0,0,0,45,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.1322465999983251],184.7974838000082,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,184.06304100000125,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bell peppers,Provolone cheese,Cucumbers,Spinach,Tomatoes,Onions,Hummus,None,Roast beef,Bacon,Turkey,Mayonnaise,None,None,None,None,7,7,4,,,,,,0,0,0,45,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.16679560000193305],185.8141309000057,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,185.07961169999908,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Turkey,Ham,Cheddar cheese,Olives,Lettuce,Tomatoes,Onions,Chicken,Swiss cheese,Lettuce,Tomatoes,Onions,None,None,None,8,8,5,,,,,,0,1,1,38,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.04103120000218041],186.8639014000073,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,186.11830349999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Turkey,Ham,Cheddar cheese,Olives,Lettuce,Tomatoes,Onions,Chicken,Swiss cheese,Lettuce,Tomatoes,Onions,None,None,None,8,8,5,,,,,,0,1,1,38,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.03962660000252072],187.78040830000828,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,187.05634999999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Steak,Turkey,Ham,Cheddar cheese,Olives,Lettuce,Tomatoes,Onions,Chicken,Swiss cheese,Lettuce,Tomatoes,Onions,None,None,None,8,8,5,,,,,,0,1,1,38,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['l'],[0.07030779999331571],188.6970091999974,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,187.96145299999625,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Lettuce,Tomatoes,Ranch dressing,None,None,None,None,Chicken,Bacon,Mustard,None,None,None,None,None,4,4,3,,,,,,0,2,2,76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.13159789999190252],189.6635346999974,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,188.92425830000138,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
Bacon,Lettuce,Tomatoes,Ranch dressing,None,None,None,None,Chicken,Bacon,Mustard,None,None,None,None,None,4,4,3,,,,,,0,2,2,76,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['a'],[0.11249959999986459],190.68008109999937,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,189.93449250000413,None,,,,,,,,,,,,,,,,,,,,,,,,,,Demo Data,2020_Mar_19_1027,trial,3.2.4,59.92455498806974,
